fpr,tpr_mean,tpr_min,tpr_max
0.0,0.0,0.0,0.0
0.0025,0.00967741935483871,0.0,0.03225806451612903
0.005,0.00967741935483871,0.0,0.03225806451612903
0.0075,0.00967741935483871,0.0,0.03225806451612903
0.01,0.05161290322580645,0.0,0.0967741935483871
0.0125,0.05161290322580645,0.0,0.0967741935483871
0.015,0.05161290322580645,0.0,0.0967741935483871
0.0175,0.05161290322580645,0.0,0.0967741935483871
0.02,0.1064516129032258,0.0,0.1935483870967742
0.0225,0.1064516129032258,0.0,0.1935483870967742
0.025,0.1064516129032258,0.0,0.1935483870967742
0.0275,0.2290322580645161,0.0967741935483871,0.3225806451612903
0.03,0.2290322580645161,0.0967741935483871,0.3225806451612903
0.0325,0.2290322580645161,0.0967741935483871,0.3225806451612903
0.035,0.2290322580645161,0.0967741935483871,0.3225806451612903
0.0375,0.29032258064516125,0.22580645161290322,0.41935483870967744
0.04,0.29032258064516125,0.22580645161290322,0.41935483870967744
0.0425,0.29032258064516125,0.22580645161290322,0.41935483870967744
0.045,0.29032258064516125,0.22580645161290322,0.41935483870967744
0.0475,0.2967741935483871,0.22580645161290322,0.41935483870967744
0.05,0.2967741935483871,0.22580645161290322,0.41935483870967744
0.0525,0.2967741935483871,0.22580645161290322,0.41935483870967744
0.055,0.33225806451612905,0.25806451612903225,0.41935483870967744
0.0575,0.33225806451612905,0.25806451612903225,0.41935483870967744
0.06,0.33225806451612905,0.25806451612903225,0.41935483870967744
0.0625,0.33225806451612905,0.25806451612903225,0.41935483870967744
0.065,0.3709677419354839,0.25806451612903225,0.45161290322580644
0.0675,0.3709677419354839,0.25806451612903225,0.45161290322580644
0.07,0.3709677419354839,0.25806451612903225,0.45161290322580644
0.0725,0.3935483870967742,0.2903225806451613,0.4838709677419355
0.075,0.3935483870967742,0.2903225806451613,0.4838709677419355
0.0775,0.3935483870967742,0.2903225806451613,0.4838709677419355
0.08,0.3935483870967742,0.2903225806451613,0.4838709677419355
0.0825,0.4258064516129032,0.3548387096774194,0.5161290322580645
0.085,0.4258064516129032,0.3548387096774194,0.5161290322580645
0.08750000000000001,0.4258064516129032,0.3548387096774194,0.5161290322580645
0.09,0.4258064516129032,0.3548387096774194,0.5161290322580645
