set_index,auroc,set_label
0,0.8204010725021362,s00
1,0.8177855014801025,s01
2,0.8113920092582703,s02
3,0.7956989407539368,s03
4,0.8073234558105469,s04
5,0.8343504667282104,s05
6,0.8352223038673401,s06
7,0.8201104402542114,s07
8,0.8401627540588379,s08
9,0.8163324594497681,s09
